"id","name","inn","opf_short","name_full_with_opf","ca_type","branch_type","ogrn","ogrn_date","fio_surname","fio_name","fio_patronymic","management_post","management_disqualified","management_name","email","address_full","address","status","actuality_date","registration_date","liquidation_date","is_archived","description","group_name"
40,ГАЗПРОМ МЕЖРЕГИОНГАЗ МОСКВА,"5009033419",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МОСКВА""",LEGAL,MAIN,"1035002001594",2003-02-04 03:00:00.000,,,,Генеральный директор,,Тельнов Олег Владимирович,,"108814, Г.Москва, ВН.ТЕР.Г. ПОСЕЛЕНИЕ СОСЕНСКОЕ, П ГАЗОПРОВОД, Д. 101, К. 10","г Москва, поселение Сосенское, поселок Газопровод, д 101 к 10",ACTIVE,2022-06-11 03:00:00.000,2000-10-31 03:00:00.000,,false,autoloaded by counteragentcreate.py,
66,Филиппов Игорь Александрович,"500120058944",ИП,Индивидуальный предприниматель Филиппов Игорь Александрович,INDIVIDUAL,,"317505300038627",2017-06-07 03:00:00.000,Филиппов,Игорь,Александрович,,,,,"ОБЛАСТЬ МОСКОВСКАЯ, ГОРОД БАЛАШИХА","Московская обл, г Балашиха",ACTIVE,2017-08-03 03:00:00.000,2017-06-07 03:00:00.000,,false,autoloaded by counteragentcreate.py,
41,ГАЗПРОМ МЕЖРЕГИОНГАЗ САНКТ-ПЕТЕРБУРГ,"7838056212",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ САНКТ-ПЕТЕРБУРГ""",LEGAL,MAIN,"1167847278180",2016-07-01 03:00:00.000,,,,Генеральный директор,,Бондарчук Андрей Сергеевич,,"190000, ГОРОД САНКТ-ПЕТЕРБУРГ, УЛ. ГАЛЕРНАЯ, Д. 20-22, ЛИТ. А","г Санкт-Петербург, ул Галерная, д 20-22 литера а",ACTIVE,2022-08-30 03:00:00.000,2016-07-01 03:00:00.000,,false,autoloaded by counteragentcreate.py,
42,ГАЗПРОМ МЕЖРЕГИОНГАЗ УХТА,"1102025359",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ УХТА""",LEGAL,MAIN,"1021100730408",2002-08-13 03:00:00.000,,,,Генеральный директор,,Курлыгин Павел Александрович,,"169311, Республика Коми, Г. УХТА, УЛ. 30 ЛЕТ ОКТЯБРЯ, Д. 1-А","Респ Коми, г Ухта, ул 30 лет Октября, д 1А",ACTIVE,2023-03-01 03:00:00.000,2001-06-19 03:00:00.000,,false,autoloaded by counteragentcreate.py,
43,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ МОСКОВСКОЕ ГОРОДСКОЕ БЮРО ТЕХНИЧЕСКОЙ ИНВЕНТАРИЗАЦИИ,"7710498023",ГБУ,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ МОСКОВСКОЕ ГОРОДСКОЕ БЮРО ТЕХНИЧЕСКОЙ ИНВЕНТАРИЗАЦИИ,LEGAL,MAIN,"1157746554250",2015-06-19 03:00:00.000,,,,Генеральный директор,,Кинев Александр Юрьевич,,"125375, Г.Москва, ПЕР. ГНЕЗДНИКОВСКИЙ М., Д. 9, СТР. 7","г Москва, пер Гнездниковский М., д 9 стр 7",ACTIVE,2023-04-14 03:00:00.000,2015-06-19 03:00:00.000,,false,autoloaded by counteragentcreate.py,
44,ГК КВАН,"7726721887",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГК КВАН""",LEGAL,MAIN,"1137746424881",2013-05-20 03:00:00.000,,,,Генеральный директор,,Старчиков Алексей Викторович,,"115114, ГОРОД МОСКВА, НАБ. ПАВЕЛЕЦКАЯ, Д. 2, СТР. 21, ЭТАЖ 2 ПОМ 216","г Москва, Павелецкая наб, д 2 стр 21, помещ 216",ACTIVE,2020-08-31 03:00:00.000,2013-05-20 03:00:00.000,,false,autoloaded by counteragentcreate.py,
45,МУП Г. АСТРАХАНИ ГОРЭЛЕКТРОСЕТЬ,"3015038531",МУП,"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ Г. АСТРАХАНИ ""ГОРЭЛЕКТРОСЕТЬ""",LEGAL,MAIN,"1023000849937",2002-11-30 03:00:00.000,,,,Директор,,Авагин Виктор Николаевич,,"414000, Астраханская область, Г. АСТРАХАНЬ, УЛ. КОММУНИСТИЧЕСКАЯ, Д. 8/8, ЛИТЕР А, ПОМЕЩ. 076","г Астрахань, ул Коммунистическая, д 8/8 литера а, помещ 076",ACTIVE,2023-01-11 03:00:00.000,1997-01-09 03:00:00.000,,false,autoloaded by counteragentcreate.py,
46,ГРУППА СОДРУЖЕСТВО,"7736267895",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРУППА СОДРУЖЕСТВО""",LEGAL,MAIN,"1167746487567",2016-05-23 03:00:00.000,,,,Директор,,Карпова Екатерина Петровна,,"107023, ГОРОД МОСКВА, УЛ. СУВОРОВСКАЯ, Д. 8, КВ. 27","г Москва, ул Суворовская, д 8, кв 27",ACTIVE,2022-11-17 03:00:00.000,2016-05-23 03:00:00.000,,false,autoloaded by counteragentcreate.py,
47,ГУП ГОРОДА МОСКВЫ МОСКОВСКИЙ ГОРОДСКОЙ ЦЕНТР ДЕЗИНФЕКЦИИ,"7716082078",ГУП,"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ ГОРОДСКОЙ ЦЕНТР ДЕЗИНФЕКЦИИ""",LEGAL,MAIN,"1037739394990",2003-02-04 03:00:00.000,,,,Руководитель,,Юнаков Павел Анатольевич,,"129337, Г.Москва, Ш. ЯРОСЛАВСКОЕ, Д.9","г Москва, Ярославское шоссе, д 9",ACTIVE,2023-04-14 03:00:00.000,1996-07-08 03:00:00.000,,false,autoloaded by counteragentcreate.py,
48,ГУП НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА НАРЬЯН-МАРСКАЯ ЭЛЕКТРОСТАНЦИЯ,"8300010188",ГУП,"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""НАРЬЯН-МАРСКАЯ ЭЛЕКТРОСТАНЦИЯ""",LEGAL,MAIN,"1028301647241",2002-10-28 03:00:00.000,,,,Директор,,Сенокосов Евгений Юрьевич,,"166000, Ненецкий автономный округ, Г. НАРЬЯН-МАР, УЛ. ИМ 60-ЛЕТИЯ ОКТЯБРЯ, Д.37","г Нарьян-Мар, ул им 60-летия Октября, д 37",ACTIVE,2022-11-28 03:00:00.000,1996-03-14 03:00:00.000,,false,autoloaded by counteragentcreate.py,
49,ГУП НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА НЕНЕЦКАЯ КОММУНАЛЬНАЯ КОМПАНИЯ,"8301002408",ГУП,"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""НЕНЕЦКАЯ КОММУНАЛЬНАЯ КОМПАНИЯ""",LEGAL,MAIN,"1028301647120",2002-10-21 03:00:00.000,,,,Исполняющий обязанности директора,,Анисимов Сергей Михайлович,,"166004, Ненецкий автономный округ, Г.О. ГОРОД НАРЬЯН-МАР, Г НАРЬЯН-МАР, УЛ ИМ В.И.ЛЕНИНА, Д. 38","166004, Ненецкий автономный округ, Г.О. ГОРОД НАРЬЯН-МАР, Г НАРЬЯН-МАР, УЛ ИМ В.И.ЛЕНИНА, Д. 38",ACTIVE,2023-04-12 03:00:00.000,2001-07-09 03:00:00.000,,false,autoloaded by counteragentcreate.py,
50,ГОРОДСКОЙ ЦЕНТР БРОНИРОВАНИЯ И ТУРИЗМА,"7707113869",НАО,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОРОДСКОЙ ЦЕНТР БРОНИРОВАНИЯ И ТУРИЗМА""",LEGAL,MAIN,"1027700101131",2002-08-06 03:00:00.000,,,,Генеральный директор,,Моргунов Юрий Григорьевич,,"142701, ОБЛАСТЬ МОСКОВСКАЯ, Г. ВИДНОЕ, УЛ. ОЛЬХОВАЯ, Д. 3, ПОМЕЩ. 14, КАБИНЕТ 6","Московская обл, г Видное, ул Ольховая, д 3, помещ 14 офис 6",ACTIVE,2022-07-27 03:00:00.000,1996-05-27 03:00:00.000,,false,autoloaded by counteragentcreate.py,
51,ДАРИОНАВТОТРАНС,"7714442367",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДАРИОНАВТОТРАНС""",LEGAL,MAIN,"1197746219395",2019-03-27 03:00:00.000,,,,Генеральный директор,,Егоров Алексей Владимирович,,"123007, ГОРОД МОСКВА, ПР-Д 2-Й ХОРОШЁВСКИЙ, Д. 9, К. 2, ЭТАЖ 2 КОМН. №42, №43","г Москва, 2-й Хорошёвский проезд, д 9 к 2, ком 42/43",ACTIVE,2022-11-22 03:00:00.000,2019-03-27 03:00:00.000,,false,autoloaded by counteragentcreate.py,
52,Дензин Дмитрий Игоревич,"771986310899",ИП,Индивидуальный предприниматель Дензин Дмитрий Игоревич,INDIVIDUAL,,"314774602200859",2014-01-22 03:00:00.000,Дензин,Дмитрий,Игоревич,,,,,ГОРОД МОСКВА,г Москва,ACTIVE,2020-09-24 03:00:00.000,2014-01-22 03:00:00.000,,false,autoloaded by counteragentcreate.py,
186,Токарев Антон Викторович,"312331816969",ИП,Индивидуальный предприниматель Токарев Антон Викторович,INDIVIDUAL,,"318312300005180",2018-01-25 03:00:00.000,Токарев,Антон,Викторович,,,,,"ОБЛАСТЬ БЕЛГОРОДСКАЯ, ГОРОД БЕЛГОРОД",г Белгород,ACTIVE,2022-04-26 03:00:00.000,2018-01-25 03:00:00.000,,false,autoloaded by counteragentcreate.py,
53,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ МОСКОВСКИЙ ГОРОДСКОЙ ТРЕСТ ГЕОЛОГО-ГЕОДЕЗИЧЕСКИХ И КАРТОГРАФИЧЕСКИХ РАБОТ,"7714972558",ГБУ,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ ГОРОДСКОЙ ТРЕСТ ГЕОЛОГО-ГЕОДЕЗИЧЕСКИХ И КАРТОГРАФИЧЕСКИХ РАБОТ""",LEGAL,MAIN,"1177746118230",2017-02-08 03:00:00.000,,,,Управляющий,,Серов Александр Юрьевич,,"125040, Г.Москва, ПР-КТ ЛЕНИНГРАДСКИЙ, Д. 11","г Москва, Ленинградский пр-кт, д 11",ACTIVE,2023-03-21 03:00:00.000,2017-02-08 03:00:00.000,,false,autoloaded by counteragentcreate.py,
54,ДЕПАРТАМЕНТ ГОРОДСКОГО ИМУЩЕСТВА ГОРОДА МОСКВЫ,"7705031674",ГКУ,ДЕПАРТАМЕНТ ГОРОДСКОГО ИМУЩЕСТВА ГОРОДА МОСКВЫ,LEGAL,MAIN,"1037739510423",2003-02-08 03:00:00.000,,,,Первый заместитель руководителя,,Спесивцева Елена Юрьевна,,"123112, Г.Москва, ПР-Д 1-Й КРАСНОГВАРДЕЙСКИЙ, Д. 21, СТР. 1","г Москва, 1-й Красногвардейский проезд, д 21 стр 1",ACTIVE,2023-03-15 03:00:00.000,1991-11-15 03:00:00.000,,false,autoloaded by counteragentcreate.py,
55,ДОВЕРИЕ,"8607012058",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОВЕРИЕ""",LEGAL,MAIN,"1168617056960",2016-04-08 03:00:00.000,,,,"Генеральный директор ""ук ""доверие""",,Кулаков Владимир Владимирович,,"628672, АВТОНОМНЫЙ ОКРУГ ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА, Г. ЛАНГЕПАС, УЛ. ЛЕНИНА, Д. 11В, ПОМЕЩ. 23","Ханты-Мансийский Автономный округ - Югра, г Лангепас, ул Ленина, д 11В, помещ 23",ACTIVE,2022-11-17 03:00:00.000,2016-04-08 03:00:00.000,,false,autoloaded by counteragentcreate.py,
56,ДХЛ ИНТЕРНЕШНЛ,"7707033437",НАО,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДХЛ ИНТЕРНЕШНЛ""",LEGAL,MAIN,"1027739279920",2002-09-30 03:00:00.000,,,,Генеральный директор,,Жарков Дмитрий Алексеевич,,"127083, Г.Москва, УЛ. 8 МАРТА, Д.14","127083, Г.Москва, УЛ. 8 МАРТА, Д.14",ACTIVE,2023-04-05 03:00:00.000,1993-06-11 03:00:00.000,,false,autoloaded by counteragentcreate.py,
57,ЕАЕ,"7734517839",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАЕ""",LEGAL,MAIN,"1047796788930",2004-10-19 03:00:00.000,,,,Генеральный директор,,Рябушев Алексей Александрович,,"123308, Г.Москва, УЛ. ДЕМЬЯНА БЕДНОГО, Д. 24, К. 1","г Москва, ул Демьяна Бедного, д 24 к 1",ACTIVE,2023-02-09 03:00:00.000,2004-10-19 03:00:00.000,,false,autoloaded by counteragentcreate.py,
58,ЕАЕ-КОНСАЛТ,"7731407330",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕАЕ-КОНСАЛТ""",LEGAL,MAIN,"1117746390277",2011-05-18 03:00:00.000,,,,Генеральный директор,,Таболин Владислав Николаевич,,"123308, Г.Москва, УЛ. ДЕМЬЯНА БЕДНОГО, Д. 24, К. 1, ПОМ IV ЭТ 2 КОМ 38","г Москва, ул Демьяна Бедного, д 24 к 1, помещ IV ком 38",ACTIVE,2023-02-28 03:00:00.000,2011-05-18 03:00:00.000,,false,autoloaded by counteragentcreate.py,
59,ЖИЛИЩНЫЙ СТАНДАРТ,"8901028398",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛИЩНЫЙ СТАНДАРТ""",LEGAL,MAIN,"1138901001690",2013-11-07 03:00:00.000,,,,Генеральный директор,,Ковшацкая Оксана Владимировна,,"629002, Ямало-Ненецкий автономный округ, Г.О. ГОРОД САЛЕХАРД, Г САЛЕХАРД, УЛ ИГАРСКАЯ, Д. 23, КВ. 4","г Салехард, ул Игарская, д 23, кв 4",ACTIVE,2022-11-22 03:00:00.000,2013-11-07 03:00:00.000,,false,autoloaded by counteragentcreate.py,
60,ЖИЛЭКСПЕРТИЗА,"7743590391",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛЭКСПЕРТИЗА""",LEGAL,MAIN,"1067746451387",2006-04-04 03:00:00.000,,,,Генеральный директор,,Пшеничников Олег Николаевич,,"127055, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ТВЕРСКОЙ, УЛ НОВОСЛОБОДСКАЯ, Д. 45, К. Б, ПОМЕЩ. ЧАСТЬ ПОМ. №2, ПОМ. №7, ЭТАЖ 2, ОФ. 1.36","127055, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ТВЕРСКОЙ, УЛ НОВОСЛОБОДСКАЯ, Д. 45, К. Б, ПОМЕЩ. ЧАСТЬ ПОМ. №2, ПОМ. №7, ЭТАЖ 2, ОФ. 1.36",ACTIVE,2022-11-18 03:00:00.000,2006-04-04 03:00:00.000,,false,autoloaded by counteragentcreate.py,
61,Журавская Римма Андреевна,"246102447456",ИП,Индивидуальный предприниматель Журавская Римма Андреевна,INDIVIDUAL,,"321774600039523",2021-01-28 03:00:00.000,Журавская,Римма,Андреевна,,,,,Г. МОСКВА,г Москва,ACTIVE,2021-04-13 03:00:00.000,2021-01-28 03:00:00.000,,false,autoloaded by counteragentcreate.py,
62,ЗУБОВСКИЙ БУЛЬВАР,"7704862651",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗУБОВСКИЙ БУЛЬВАР""",LEGAL,MAIN,"1147746451852",2014-04-23 03:00:00.000,,,,Генеральный директор,,Пухаев Альберт Георгиевич,,"119021, Г.Москва, Б-Р ЗУБОВСКИЙ, Д. 22/39","г Москва, Зубовский б-р, д 22/39",ACTIVE,2022-12-03 03:00:00.000,2014-04-23 03:00:00.000,,false,autoloaded by counteragentcreate.py,
63,ИСКАТЕЛЬСКОЕ МУП ПОСЖИЛКОМСЕРВИС,"2983013920",МУП,"ИСКАТЕЛЬСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ПОСЖИЛКОМСЕРВИС""",LEGAL,MAIN,"1212900003348",2021-05-11 03:00:00.000,,,,Директор,,Загитов Артур Эдуардович,,"166700, Ненецкий автономный округ, М.Р-Н МУНИЦИПАЛЬНЫЙ РАЙОН ЗАПОЛЯРНЫЙ РАЙОН, Г.П. РАБОЧИЙ ПОСЕЛОК ИСКАТЕЛЕЙ, РП ИСКАТЕЛЕЙ, УЛ ГУБКИНА, Д. 15","166700, Ненецкий автономный округ, М.Р-Н МУНИЦИПАЛЬНЫЙ РАЙОН ЗАПОЛЯРНЫЙ РАЙОН, Г.П. РАБОЧИЙ ПОСЕЛОК ИСКАТЕЛЕЙ, РП ИСКАТЕЛЕЙ, УЛ ГУБКИНА, Д. 15",ACTIVE,2023-01-26 03:00:00.000,2021-05-11 03:00:00.000,,false,autoloaded by counteragentcreate.py,
64,ИНВЕСТ,"7708414379",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНВЕСТ""",LEGAL,MAIN,"1237700046781",2023-01-23 03:00:00.000,,,,Генеральный директор,,Борис Игорь Дмитриевич,,"107045, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ КРАСНОСЕЛЬСКИЙ, ПЕР КОСТЯНСКИЙ, Д. 4","г Москва, Костянский пер, д 4",ACTIVE,2023-01-26 03:00:00.000,2023-01-23 03:00:00.000,,false,autoloaded by counteragentcreate.py,
65,Воркина Наталья Владимировна,"771673829189",ИП,Индивидуальный предприниматель Воркина Наталья Владимировна,INDIVIDUAL,,"318774600537587",2018-10-04 03:00:00.000,Воркина,Наталья,Владимировна,,,,,ГОРОД МОСКВА,г Москва,ACTIVE,2022-03-03 03:00:00.000,2018-10-04 03:00:00.000,,false,autoloaded by counteragentcreate.py,
67,ИНЖЕНЕРНАЯ КОМПАНИЯ КОНЦЕПТ-ПРО,"5027209457",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ИНЖЕНЕРНАЯ КОМПАНИЯ ""КОНЦЕПТ-ПРО""",LEGAL,MAIN,"1145027006893",2014-03-04 03:00:00.000,,,,Генеральный директор,,Романов Александр Валерьевич,,"140060, ОБЛАСТЬ МОСКОВСКАЯ, Г. ЛЮБЕРЦЫ, РП. ОКТЯБРЬСКИЙ, УЛ. ТЕКСТИЛЬЩИКОВ, Д.1, ПОМЕЩЕНИЕ 1","Московская обл, г Люберцы, рп Октябрьский, ул Текстильщиков, д 1, помещ 1",ACTIVE,2022-11-06 03:00:00.000,2014-03-04 03:00:00.000,,false,autoloaded by counteragentcreate.py,
68,ИНЖЕНЕРНЫЕ ТЕХНОЛОГИИ,"1102060917",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНЫЕ ТЕХНОЛОГИИ""",LEGAL,MAIN,"1081102003982",2008-11-01 03:00:00.000,,,,Директор,,Коровкин Александр Николаевич,,"169316, РЕСПУБЛИКА КОМИ, Г. УХТА, ПР-КТ КОСМОНАВТОВ, Д.36, КВ.1.001","Респ Коми, г Ухта, пр-кт Космонавтов, д 36, кв 1/001",ACTIVE,2022-09-19 03:00:00.000,2008-11-01 03:00:00.000,,false,autoloaded by counteragentcreate.py,
69,АНО ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ИНСТИТУТ ПОВЫШЕНИЯ КВАЛИФИКАЦИИ ПРОФЕССИОНАЛ,"7701168981",АНО,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ИНСТИТУТ ПОВЫШЕНИЯ КВАЛИФИКАЦИИ ""ПРОФЕССИОНАЛ""",LEGAL,MAIN,"1127799021547",2012-10-09 03:00:00.000,,,,Генеральный директор,,Баранова Евгения Александровна,,"101000, ГОРОД МОСКВА, УЛ. ПОКРОВКА, Д.1/13/6, СТР.2","г Москва, ул Покровка, д 1/13/6 стр 2",ACTIVE,2022-11-13 03:00:00.000,2012-10-09 03:00:00.000,,false,autoloaded by counteragentcreate.py,
70,ИНТЕРФАКС,"7710137066",НАО,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНТЕРФАКС""",LEGAL,MAIN,"1037739169335",2003-01-21 03:00:00.000,,,,Генеральный директор,,Комиссар Михаил Витальевич,,"127006, Г.Москва, УЛ. 1-Я ТВЕРСКАЯ-ЯМСКАЯ, Д. 2, СТР. 1","г Москва, ул 1-я Тверская-Ямская, д 2 стр 1",ACTIVE,2023-02-27 03:00:00.000,1992-05-26 03:00:00.000,,false,autoloaded by counteragentcreate.py,
71,ИНФОРМ,"7705514400",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФОРМ""",LEGAL,MAIN,"1057705049797",2005-07-01 03:00:00.000,,,,Генеральный директор,,Легков Алексей Александрович,,"115093, Г.Москва, УЛ. ЛЮСИНОВСКАЯ, Д.36, СТР.1","г Москва, ул Люсиновская, д 36 стр 1",ACTIVE,2023-04-10 03:00:00.000,2005-07-01 03:00:00.000,,false,autoloaded by counteragentcreate.py,
72,Брезицкая Татьяна Степановна,"772073619248",ИП,Индивидуальный предприниматель Брезицкая Татьяна Степановна,INDIVIDUAL,,"318774600354948",2018-07-03 03:00:00.000,Брезицкая,Татьяна,Степановна,,,,,ГОРОД МОСКВА,г Москва,ACTIVE,2020-09-26 03:00:00.000,2018-07-03 03:00:00.000,,false,autoloaded by counteragentcreate.py,
73,К.Н. ХОЛДИНГ,"7706295292",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К.Н. ХОЛДИНГ""",LEGAL,MAIN,"1037706012046",2003-02-28 03:00:00.000,,,,Генеральный директор,,Степанов Сергей Алексеевич,,"127055, Г.Москва, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ТВЕРСКОЙ, УЛ СУЩЁВСКИЙ ВАЛ, Д. 2, ЭТАЖ 6, ПОМЕЩ. 22","г Москва, ул Сущёвский Вал, д 2, помещ 22",ACTIVE,2023-04-13 03:00:00.000,2003-02-28 03:00:00.000,,false,autoloaded by counteragentcreate.py,
74,КАДЕТ,"9705053262",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАДЕТ""",LEGAL,MAIN,"5157746051117",2015-11-16 03:00:00.000,,,,Генеральный директор,,Юрченко Евгений Эдуардович,,"115035, ГОРОД МОСКВА, УЛ. БОЛЬШАЯ ОРДЫНКА, Д. 19, СТР. 1, ПОМ. IV КОМН. 1","г Москва, ул Большая Ордынка, д 19 стр 1, помещ IV ком 1",ACTIVE,2020-09-24 03:00:00.000,2015-11-16 03:00:00.000,,false,autoloaded by counteragentcreate.py,
75,КОМПЛЕКСНАЯ БЕЗОПАСНОСТЬ,"7717284447",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПЛЕКСНАЯ БЕЗОПАСНОСТЬ""",LEGAL,MAIN,"1157746299413",2015-04-02 03:00:00.000,,,,Генеральный директор,,Петров Виталий Михайлович,,"129515, Г.Москва, УЛ. АКАДЕМИКА КОРОЛЕВА, Д. 13СТР1, ПОМ КОМН III 1","г Москва, ул Академика Королева, д 13 стр 1, помещ III ком 1",ACTIVE,2022-11-25 03:00:00.000,2015-04-02 03:00:00.000,,false,autoloaded by counteragentcreate.py,
76,КОМИ КОММУНАЛЬНЫЕ ТЕХНОЛОГИИ,"1101056139",НАО,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМИ КОММУНАЛЬНЫЕ ТЕХНОЛОГИИ""",LEGAL,MAIN,"1151101010620",2015-12-17 03:00:00.000,,,,Генеральный директор,,Сосновский Николай Александрович,,"167001, Республика Коми, Г.О. СЫКТЫВКАР, Г СЫКТЫВКАР, УЛ ДИМИТРОВА, СТР. 10","г Сыктывкар, ул Димитрова, стр 10",ACTIVE,2023-03-16 03:00:00.000,2015-12-17 03:00:00.000,,false,autoloaded by counteragentcreate.py,
77,Коломак Данил Владимирович,"730689373507",ИП,Индивидуальный предприниматель Коломак Данил Владимирович,INDIVIDUAL,,"322730000019885",2022-07-27 03:00:00.000,Коломак,Данил,Владимирович,,,,,"Ульяновская область, Инзенский район, г. Инза","Ульяновская обл, г Инза",ACTIVE,2022-07-28 03:00:00.000,2022-07-27 03:00:00.000,,false,autoloaded by counteragentcreate.py,
78,КОМИ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ,"1101301856",НАО,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМИ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",LEGAL,MAIN,"1061101039779",2006-07-01 03:00:00.000,,,,Генеральный директор,,Борисова Елена Николаевна,,"167000, Республика Коми, Г. СЫКТЫВКАР, УЛ. ПЕРВОМАЙСКАЯ, Д.70","г Сыктывкар, ул Первомайская, стр 70",ACTIVE,2022-03-13 03:00:00.000,2006-07-01 03:00:00.000,,false,autoloaded by counteragentcreate.py,
79,КОМПАНИЯ ТЕНЗОР,"7605016030",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ ""ТЕНЗОР""",LEGAL,MAIN,"1027600787994",2002-09-24 03:00:00.000,,,,Директор,,Уваров Сергей Васильевич,,"150001, Ярославская область, Г. ЯРОСЛАВЛЬ, ПР-КТ МОСКОВСКИЙ, Д.12","г Ярославль, Московский пр-кт, д 12",ACTIVE,2023-02-28 03:00:00.000,1999-06-10 03:00:00.000,,false,autoloaded by counteragentcreate.py,
93,ЛЕСНАЯ 27,"7710558138",ООО,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЕСНАЯ 27""",LEGAL,MAIN,"1047796716296",2004-09-23 03:00:00.000,,,,Генеральный директор,,Топоркова Елена Вячеславовна,,"125196, ГОРОД МОСКВА, УЛ. ЛЕСНАЯ, Д. 9","г Москва, ул Лесная, д 9",ACTIVE,2022-07-14 03:00:00.000,2004-09-23 03:00:00.000,,false,autoloaded by counteragentcreate.py,
